status_type,year_born,gender,native_province,corruption_location,local_official,rankErin,sentence_details,economic_problem,corrupted_amount,sector,connections_with_tigers
Fly,1970-1979,Male,Hainan,Hainan,Yes,10,NA,Yes,"0-1,000,000",social service,No
Fly,1970-1979,Female,Hubei,Hunan,No,8,10-15 years imprisonment,Yes,NA,technology,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,10,10-15 years imprisonment,Yes,NA,technology,No
Fly,1960-1969,Female,Anhui,Hebei,No,10,10-15 years imprisonment,Yes,NA,finance,No
Fly,1950-1959,Male,Hebei,Hebei,Yes,8,1-5 years imprisonment,Yes,NA,real estate,No
Fly,1960-1969,Male,Beijing,Beijing,Yes,10,Fine only,Yes,NA,CEHS,No
Fly,1960-1969,Male,Yunnan,Yunnan,Yes,10,5-10 years imprisonment,Yes,NA,finance,No
Fly,1950-1959,Female,Shanxi,Hainan,No,9,5-10 years imprisonment,Yes,NA,CEHS,No
Fly,1950-1959,Male,Shanxi,Hainan,No,10,Life imprisonment,Yes,NA,finance,No
Fly,1960-1969,Male,Guangdong,Guangdong,Yes,10,10-15 years imprisonment,Yes,NA,finance,No
Fly,1940-1949,Male,Zhejiang,Macau,No,6,5-10 years imprisonment,Yes,NA,CEHS,No
Fly,1940-1949,Male,Henan,Henan,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1940-1949,Male,Shandong,Shandong,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Male,Jiangsu,Guangdong,No,10,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Male,Beijing,Shaanxi,No,10,Death sentence,Yes,NA,real estate,No
Fly,1960-1969,Female,Guangxi,Guangdong,No,10,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Male,Hunan,Hunan,Yes,5,NA,Yes,"0-1,000,000",social service,No
Fly,1960-1969,Male,Sichuan,Sichuan,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1970-1979,Female,Sichuan,Sichuan,Yes,5,Death sentence,Yes,NA,finance,No
Fly,1970-1979,Female,Jiangsu,Jiangsu,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Male,Jiangsu,Jiangsu,Yes,5,Death sentence,Yes,NA,transport,No
Fly,1940-1949,Male,Jilin,Beijing,No,7,Death sentence,Yes,NA,energy,No
Fly,1960-1969,Female,Shanghai,Shanghai,Yes,10,Death sentence,Yes,NA,social service,No
Fly,1930-1939,Male,Fujian,Fujian,Yes,5,Death sentence,Yes,NA,social service,No
Fly,1950-1959,Female,Henan,Henan,Yes,7,Death sentence,Yes,NA,transport,No
Fly,1950-1959,Male,Zhejiang,Zhejiang,Yes,10,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Female,Guangxi,Guangxi,Yes,5,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Male,Shandong,Shandong,Yes,9,Death sentence,Yes,NA,finance,No
Fly,1940-1949,Male,Shanghai,Anhui,No,9,Death sentence,Yes,NA,finance,No
Fly,1960-1969,Male,Jilin,Jilin,Yes,7,Death sentence,Yes,NA,CEHS,No
Fly,1950-1959,Male,Guangdong,Guangdong,Yes,8,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Female,Shanghai,Shanghai,Yes,7,Death sentence,Yes,NA,finance,No
Fly,1950-1959,Male,Jilin,Beijing,No,8,Death sentence,Yes,NA,technology,No
