name,chinese_name,status_type,year_born,gender,native_city,native_province,bio,photo_link,photo_name,last_position_held,chinese_position,organization,chinese_organization,corruption_location,sentencing_status,investigated_date,investigated_link,investigated_ccdi,investigated_quote,expelled_date,expelled_link,expelled_ccdi,expelled_quote,sentenced_date,sentenced_link,sentenced_ccdi,sentence_details,sentenced_quote,total_yuan_corrupted,sector,sector_two,sector_three,family_connections,city_connections,province_connections,national_connections,other_connections,dead_date,dead_link,dead_details,which_tiger,previous_positions,naked_official
Liang Jinwen,梁锦文,Fly,1954,Male,,Guangdong,"Included in the Operation Skynet round-up, believed to be in Canada, Hong Kong or the U.S.",http://h.hiphotos.baidu.com/baike/w%3D268/sign=097feabcce1349547e1eef626e4f92dd/3ac79f3df8dcd100ed01aa1c778b4710b9122f69.jpg,,N/A,N/A,"Zhuhai Huayue Automobile Component Industry Co., Ltd.,  Zhuhai Huamei Automobile Brake Industry Co., Ltd.","珠海市华粤汽配工业有限公司, 珠海市华美汽车制动工业有限公司        ",Guangdong,Investigated,12/1/1997,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4914378/content.html,,,,,,,,,,,,,Automobile Industry,Sky Net,,,,,,,,,,,
Huang Hong,黄红,Fly,1967,Female,,Anhui,"Huang is the wife of He Yejun, a Skynet fugitive. Huang’s alias is Huang Li (黄利)",http://si.wsj.net/public/resources/images/AI-CP775_CMALL__MV_20150517035721.jpg,Huang-Hong.jpg,Accountant,会计,Beijing Office of Yutian Haomen Group,玉田县豪门集团驻京办事处,Hebei,Investigated,10/6/1999,http://www.wsj.com/articles/china-fugitive-flushed-out-after-floridas-fashion-mall-files-for-bankruptcy-1431857997,http://www.ccdi.gov.cn/gzdt/gjhz/201708/t20170801_153570.html,,,,,,,,,,,,,Spouses,Sky Net,He Yejun,,,,,,,,,,
He Yejun,贺业军,Fly,1959,Male,,Hebei,"According to the Wall Street Journal, He bought a mall in Florida for $37 million.",http://g.hiphotos.baidu.com/baike/w%3D268/sign=c7c5be32bd0e7bec23da04e7172fb9fa/ca1349540923dd54a88a0d55d409b3de9c824816.jpg,He-Yejun.jpg,"General Manager, Party Secretary","总经理, 党委书记        ",Yutian Haomen Group,玉田县豪门集团公司,Hebei,Investigated,10/6/1999,http://www.wsj.com/articles/china-fugitive-flushed-out-after-floridas-fashion-mall-files-for-bankruptcy-1431857997,http://www.chinanews.com/gn/2015/05-22/7293270.shtml,,,,,,,,,,,,,Spouses,Sky Net,Huang Hong,,,,,,,,,,
Liu Changkai,刘常凯,Fly,1961,Male,,Beijing,"Included in the Operation Skynet round-up, believed to be in the U.S. or South Korea.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV8YGDAj3eIj3O7DWxRkHqhvwE7VJexoZf2_lMBnhu2owmlpqDdg,,Principal,校长,Jingju Theater Company of Beijing Liyuan Driving School ,北京京剧院梨园驾校,Beijing,Investigated,7/13/2000,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,http://www.ccdi.gov.cn/gzdt/gjhz/201709/t20170905_153571.html,,,,,,,,,,,,,,Sky Net,,,,,,,,,,,
Yao Geng,姚耿,Fly,1962,Male,,Yunnan,"Included in the Operation Skynet round-up, believed to be in Thailand or Australia.",http://f.hiphotos.baidu.com/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=2900f248d388d43fe4a499a01c77b97e/42166d224f4a20a4932069fa95529822720ed0d5.jpg,,Manager,经理,Shanghai Pudong Branch Office of Yunnan Metals Minerals & Chemicals Importers & Exporters Company,云南省五矿化工进出口（集团）公司上海浦东分公司,Yunnan,Investigated,7/20/2000,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4915858/content.html,,,,,,,,,,,,,,Sky Net,,,,,,,,,,,
Wang Yulan,王玉兰,Fly,1954,Female,,Shanxi,Wife of Wang Liming,http://www.chinanews.com/2001-05-26/26/_990840363_yu.jpg,Wang-Yulan.jpg,Vice Chairman,副董事长,Hainan Sanyo Delin Pharmaceutical Limited Company,海南三洋德林药业公司,Hainan,Investigated,5/1/2001,http://www.nytimes.com/2001/05/29/business/international-business-chinese-banking-case.html,http://www.chinanews.com/2001-05-26/26/93815.html,,,,,,,,,,,,,Medicine,Spouses,Wang Liming,,,,,,,,,,
Wang Liming,王黎明,Fly,1953,Male,Fanshi,Shanxi,Husband of Wang Yulan,http://f.hiphotos.baidu.com/baike/w%3D268/sign=542435395c82b2b7a79f3ec209adcb0a/fcfaaf51f3deb48f79340ce3f51f3a292df578aa.jpg,,President,行长,Bank of China Hainan Branch,中国银行海南省分行  ,Hainan,Investigated,11/22/2001,http://www.nytimes.com/2001/05/29/business/international-business-chinese-banking-case.html,http://www.people.com.cn/GB/shehui/43/20010526/475200.html,,,,,,,,,,,,,Finance,Sky Net,Wang Yulan,,,,,,,,,,
Huang Weiliang,黄伟亮,Fly,1967,Male,Kaiping,Guangdong,"Included in the Operation Skynet round-up, believed to be in Australia.",http://d.hiphotos.baidu.com/baike/c0%3Dbaike80%2C5%2C5%2C80%2C26/sign=d5f249b94fed2e73e8e48e7ee668caee/a2cc7cd98d1001e9da89b232bd0e7bec54e79752.jpg,,Office Director,办公室主任,Bank of China Kaiping Branch,中国银行开平支行,Guangdong,Investigated,1/8/2002,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4915298/content.html,,,,,,,,,,,,,Finance,Sky Net,,,,,,,,,,,
Dai Xuemin,戴学民,Fly,1958,Male,Mengcheng,Anhui,,,,General Manager,总经理,Shanghai Sales Department of China Economic Development Trust and Investment Corporation,中国经济开发信托投资公司上海营业部,Shanghai,Sentenced,1/11/2002,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4914558/content.html,,4/25/2015,http://www.chinadaily.com.cn/china/2015-04/29/content_20571256.htm,,,7/12/2016,http://news.xinhuanet.com/politics/2017-05/10/c_1120951325.htm,,6 years imprisonment,,,,Sky Net,,,,,,,,,,,,
Cheng Sanchang,程三昌,Fly,1941,Male,Yanling,Henan,,http://c.hiphotos.baidu.com/baike/w%3D268/sign=ecc121c1f91f4134e03702781d1e95c1/0ff41bd5ad6eddc41b0508d93ddbb6fd52663335.jpg,Cheng-Sanchang.jpg,Chairman,董事长,Henan Hong Kong Enterprises Ltd.,河南省政府驻香港豫港集团有限公司   ,Henan,Investigated,2/8/2002,http://english.caixin.com/2015-05-06/100806972.html,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4915238/content.html,,,,,,,,,,,,,,Sky Net,,,,,,,,,,,Y
